N° de Bien | Descripcion
66469 | EXTRACTOR DE AIRE PLASTICO 10"P, MARCA TAURUS, COLOR BLANCO, MOD.: S/N, SER.: S/N
PGEB-BM-983 | BIBLIOTECA EN FORMICA 5 DIVISIONES (1,95 M ALT* 1M ANCHO* 39 CM PROF) COLOR PALO DE ROSA
PGEB-BM-913 | SILLA SEMI- EJECUTIVA DE TELA, BASE DE METAL, DOS BRAZOS, DE CINCO RUEDAS, COLOR NEGRO
151539 | MOUSE OPTICO PS/2 LM 7035
49223 | PUERTA EN METAL EN PINTURA NEGRO MATE, BRAZO HIDRAULICO, VIDRIO Y CERRADURA, (ACTA DE DONACION) AL CEDNA-BARINAS ANEXA
148133 | MOUSE, MARCA GENIUS, COLOR GRIS, SERIAL 141934614001
PGEB-BM-236 | UPS AITEG AL 700
PGEB-BM-835 | ESCRITORIO EJECUTIVO FORMICA Y VIDRIO COLOR BEIGE 3 GAVETAS (78 CM ALTO X 2 MT ANCHO X 1 MT PROF)
PGEB-BM-434 | ESCRITORIO EN FORMICA PALO DE ROSA DE 1,20 MTS 2 PUERTAS C/CERRADURA, MOD.: S/N, SER: S/N
PGEB-BM-150 | CASE MEGA POWER COLOR GRIS, MEMORIA KINGSTON 2 GB 667, DISCO DURO 160GB WESTERN DIGITAL SATA, DVD DVDRW LITE ON 22X BULT,NEGRO SATA, PROCESADOR  INTEL DUAL CORE INTEL 2,5 GHZ, TARJETA MADRE ASROCK INTEL 631
PGEB-BM-98 | CPU INTEL PENTIUM DUAL CORE 22 GHZ, TARJETA MADRE FOXCON CHIP INTEL 945,TARJETA MADRE FOXCON CHIP INTEL 945,DISCO DURO DE 160 GB SANSUNG SATA, DVD SUPER MULTI DVD-RW 20X LGSATA
PGEB-BM-344 | TELEFONERA EN FORMICA PALO DE ROSA CON PUERTAS CORREDIZAS DE 1 ,20 X 0,70 X 0,45 C/CERRADURA, MOD.: S/N, SER.: S/N
PGEB-BM-836 | GAVETERO DE 2 COMPARTIMIENTOS DE FORMICA COLOR GRIS Y VINOTINTO
PGEB-BM-220 | CARTELERA  DE CORCHO DE 0,60X 0,90
PGEB-BM-483 | REGULADOR OMEGA, MOD.: S/N, SER: S/N
PGEB-BM-1004 | REGULADOR DE  VOLTAJE  MARCA FORZA MODELO FVR-1211B SERIAL:09040574352  COLOR NEGRO.
PGEB-BM-993 | SILLA SECRETARIAL MODELO ANTONELLA EN TELA, SIN BRAZOS, CON RUEDAS GIRATORIAS COLOR ROJO
PGEB-BM-908 | SILLA EJECUTIVA EN TELA BASE DE METAL CROMADAS, BRAZOS, DE CINCO (05) RUEDAS  COLOR NEGRO
PGEB-BM-68 | MONITOR DE 17" LCD AOC BLACK
PGEB-BM-943 | MONITOR  LCD MARCA SAMSUNG 17" MOD SYNC MASTER 733NW, S/N? CM17H9FS133194B  COLOR NEGRO
PGEB-BM-99 | MONITOR LCD 19" - LG L194 WS
PGEB-BM-18 | PIZARRA PORCELANIZADA TIPO ROTAFOLIO, MOD.: S/N, SER: S/N
30200 | PAPELERA EN METAL, COLOR MARRON.-, MOD.: S/N, SER.: S/N	
FCB-0299-1 | PAPELERA ACRILICO CUADRADA COLOR MARRON
120083 | MOUSE COLOR NEGRO
FCB-1389 | TECLADO MARCA MEGA POWER  S/SERIAL  COLOR NEGRO
FCB-1808 | MOUSE MARCA MEGA POWER SIN  MODELO, SERIAL: 2009060104473-4 COLOR NEGRO-GRIS
PGEB-BM-28 | ESCRITORIO MODULAR EN FORMICA GRANADILLO DE 1,30 X 1,30  CON DOS GAVETAS PEQUENAS  Y ARCHIVO CON CERRADURA
PGEB-BM-125 | SILLA SEMI EJECUTIVA CON BRAZO COLOR NEGRO
PGEB-BM-129 | SILLA SEMI EJECUTIVA CON BRAZO COLOR NEGRO
PGEB-BM-912 | SILLA SEMI- EJECUTIVA DE TELA, BASE DE METAL, DOS BRAZOS, DE CINCO RUEDAS, COLOR NEGRO
PGEB-BM-36 | REVERBERO DE UNA (01) HORNILLA DE MESA
FCB-1456 | TECLADO MARCA SONIC MODELO KM-3701 SERIAL: 018100079646 COLOR GRIS/NEGRO
FCB-1797 | CORNETA  MULTIMEDIA MARCA GENIUS MODELO: SP-S110 SERIAL: ZF9Y2B152186 COLOR NEGRO
PGEB-BM-117 | ESCRITORIO EJECUTIVO COLOR CANELA DE 1,30 X 0,60 CON ALA DE 0,90 CON TRES (03) GAVETAS
PGEB-BM-876 | ESCRITORIO DE METAL BEIGE, FORMICA COLOR PALO DE ROSA, 4 GAVETAS (75CM ALTO X 1,20M ANCHO X 75CM PROFUNDIDAD)
PGEB-BM-101 | CPU INTEL PENTIUM DUAL CORE 22 GHZ, TARJETA MADRE FOXCON CHIP INTEL 945,DIMM DDR2, 2 GB MARKVISION,DISCO DURO DE 160 GB SANSUNG SATA,DVD SUPER MULTI DVD-RW 20X LG SATA,COMBO BASE CORNETAS (A), TECLADO (B), MOUSE C
PGEB-BM-161 | CPU INTEL MARCA SIRAGON 1420 VS,MODULO DIM DDR2 1GB
21980-4 | TELEFONO BEIGE, MOD.: RJ-11, SER.:
PGEB-BM-897 | CPU INCLUYE LOS SIGUIENTES COMPONENTES INTERNOS:PROCESADOR INTEL DUAL CORE 1.8 GHZ IDE 9975/1 MB CACHE/800MHZ SERIAL 0060, TARJETA MADRE BIOSTAR P4M900-MZ SE DDRR2 S775 8USB 2,0/LAN/IDE/SATA2 SERIAL: Z080405641,DISCO DURO 160GB EXCELTOR SATA SERIAL: Q4A96NF,MEMORIA DIMM DDR2 1GB 667 SERIAL:387639,CD /DVD/RW LITE ON 20X SUPERQUEMADOR DVD SERIAL: 775L,FLOPPY 3 1/2 NEGRO 5796,
PGEB-BM-898 | CPU INCLUYE LOS SIGUIENTES COMPONENTES INTERNOS:PROCESADOR INTEL DUAL CORE 1.8 GHZ IDE 9975/1 MB CACHE/800MHZ SERIAL 0696,TARJETA MADRE BIOSTAR P4M900-MZ SE DDRR2 S775 8USB 2,0/LAN/IDE/SATA2 SERIAL: Z080405660,DISCO DURO 160GB EXCELTOR SATA SERIAL: Q4A8F62,MEMORIA DIMM DDR2 1GB 667 SERIAL:387636,CD /DVD/RW LITE ON 20X SUPERQUEMADOR DVD SERIAL: 6223,FLOPPY 3 1/2 NEGRO 5798.
PGEB-BM-851 | AIRE ACONDICIONADO 18000 BTU MARCA GOLDSTAR MODELO R1802 SERIAL:003KA002810 COLOR BEIGE (CAMBIADO POR MISION LUCIERNAGA POR AA HAIER DE 18000 BTU SERIALAD0H06E0L00SA5K0177)	
PGEB-BM-842 | REGULADOR DE VOLTAJE MARCA COMPUCOR COLOR BEIS
PGEB-BM-143 | SILLA EJECUTIVA PISA SAFA, COLOR NEGRO
PGEB-BM-158 | SILLA GIRATORIA TECNICHINI MOB..NEUMAT. COLOR NEGRO
PGEB-BM-266 | MONITOR LCD 18.5 AITEG
BU-122 | PERFORADORA 1050 OFICA, COLOR NEGRO.
FCB-1524 | MOUSE MARCA GENIUS MODELO NET SCROLL 120 SERIAL: X52410007757 COLOR NEGRO
PGEB-BM-945 | ARCHIVO DE METAL MARCA SAFA DE 4 GAVETAS COLOR NEGRO
PGEB-BM-916 | SILLA SEMI- EJECUTIVA DE TELA, BASE DE METAL, DOS BRAZOS, DE CINCO RUEDAS, COLOR NEGRO
FCB-1213 | MOUSE MARCA GENIUS MODELO M/N:GM--03022P XSCROLL S/N: 138504206059 COLOR NEGRO
FCB-1558 | MOUSE OPTICO MARCA MEGA POWER  COLOR NEGRO
FCB-1528 | TECLADO MARCA  LEXMA MODELO K6500 SERIAL: S7N-LO7A 11328 COLOR NEGRO
PGEB-BM-841 | ARCHIVO FORMICA COLOR PALO DE ROSA, DE 4 GAVETAS, (1,36 MT ALTO X 48 CM ANCHO X 59 CM PROF)
PGEB-BM-966 | ESCRITORIO SECRETARIAL DOS GAVETAS DE 1,20 MT LONGUITUD COLOR PALO DE ROSA
FCB-1329 | TECLADO PS2 MARCA GENIS MODELO KB-0138 S/SERIAL NO ZCA744101222 3912A128 COLOR NEGRO
PGEB-BM-937 | AIRE ACONDICIONADO LG 24000 BTU MOD W242CM TSN4 SERIAL 902TAQP01428 COLOR BLANCO
PGEB-BM-23 | REGULADOR DE VOLTAJE , MARCA OMEGA, PCG 1000 P/INTERNET
PGEB-BM-855 | REGULADOR DE VOLTAJE MARCA YTB COMPUTER 600 VA COLOR GRIS
PGEB-BM-944 | REGULADOR VOLTAJE  MARCA CDP MODELOB-AVR1006 SERIAL:081230-1290353 COLOR NEGRO.
PGEB-BM-999 | REGULADOR DE  VOLTAJE  MARCA FORZA MODELO FVR-1211B SERIAL:09040573686  COLOR NEGRO.
PGEB-BM-910 | SILLA EJECUTIVA EN TELA BASE DE METAL CROMADAS,BRAZOS,  DE CINCO (05) RUEDAS  COLOR NEGRO
PGEB-BM-1002 | MONITOR  LCD MARCA LG 19" MODELO:FLATRON W1934S-BN, SERIAL: 907UXVWOD151  COLOR NEGRO.
PGEB-BM-896 | MONITOR 17" MARCA SAMSUNG MODELO 740NW, SERIAL: HA17HVBQ217737J COLOR NEGRO
PGEB-BM-940 | MONITOR  LCD MARCA SAMSUNG 17" MOD SYNC MASTER 733NW S/N? CM17H9FS508323W COLOR NEGRO
PGEB-BM-994 | SILLA DE VISITANTE EN TELA, SIN BRAZOS COLOR NEGRO
PGEB-BM-964 | MODULO ARTURITO+BIBLIOTECA PEQUENA EN FORMICA, 3 GAVETAS COLOR PALO DE ROSA
PGEB-BM-965 | MODULO ARTURITO+BIBLIOTECA PEQUENA EN FORMICA, 3 GAVETAS COLOR PALO DE ROSA
PGEB-BM-967 | MODULO ARTURITO+BIBLIOTECA PEQUENA EN FORMICA, 3 GAVETAS COLOR PALO DE ROSA
PGEB-BM-935 | ARCHIVO DE METAL MARCA SAFA DE 4 GAVETAS COLOR NEGRO
PGEB-BM-858 | ARCHIVO FORMICA, COLOR PALO DE ROSA, DE 4 GAVETAS(1,36 MT ALTO X 47,5 CM ANCHO X 58 CM PROF)
PGEB-BM-882 | ARCHIVO EN FORMICA COLOR MARRON DE 4 GABETAS (1,38 MT * 60 CM PROFUNDO * 47,5 ANCHO)
PGEB-BM-856 | ARCHIVO FORMICA, COLOR PALO DE ROSA, DE 4 GAVETAS, (1,35 MT ALTO X 47 CM ANCHO X 55 CM PROF)
PGEB-BM-840 | ARCHIVO DE FORMICA COLOR GRIS Y VINOTINTO DE 4 GAVETAS (1,45CM DE ALTO, 65 CM DE PROFUINDIDAD 48 CM DE ANCHO)
PGEB-BM-911 | SILLA SEMI- EJECUTIVA DE TELA, BASE DE METAL, DOS BRAZOS, DE CINCO RUEDAS, COLOR NEGRO
158809-0 | COMBO BASE CORNETAS (A) TECLADO (B) MARCA MEGA POWER COLOR GRID C/NEGRO
FCB-1290 | TECLADO MARCA DIAMOND PUERTO PS2 MODELO KM-3502PSPK SERIAL:018020163205 COLOR NEGRO
FCB-1285 | MOUSE OPTICO MARCA DIAMOND PUERTO PS2 SERIAL: 068020216749 COLOR NEGRO
PGEB-BM-414 | TELEVISOR DE 21", MARCA TOSHIBA, CON CONTROL REMOTO, MOD.: CF79G32, SER: 38937726
PGEB-BM-962 | ESCRITORIO SECRETARIAL DOS GAVETAS DE 1,20 MT LONGUITUD COLOR PALO DE ROSA
PGEB-BM-895 | MONITOR 17" MARCA SAMSUNG MODELO 740NW, SERIAL:HA17HVBQ218207W COLOR NEGRO.
PGEB-BM-922 | MONITOR LG 19"  LCD WIDE SCREEN MOD FLATRON W19345 S/N? 806UXEZ0N996 COLOR NEGRO
PGEB-BM-947 | MICROONDAS MARCA LG MODELO MS-0745V SERIAL: 807TALB00936 COLOR BLANCO
FCB-1837 | TECLADO MULTIMEDIA MARCA X-TECH SIN  MODELO, SERIAL: 20090666019854 COLOR NEGRO
FCB-1832 | MOUSE MARCA MEGA POWER SIN  MODELO, SERIAL: 2009060104473-9 COLOR NEGRO-GRIS
FCB-1155 | MOUSE MARCA OMEGA MODELO NO: 278962BK S/N: 2078165 COLOR NEGRO
PGEB-BM-457 | JUEGO DE BOLAS CRIOLLAS, MOD.: S/N, SER.: S/N
PGEB-BM-456 | JUEGO DE BOLAS CRIOLLAS, MOD.: S/N, SER: S/N
FCB-1827 | CORNETA  MULTIMEDIA MARCA GENIUS MODELO: SP-S110 SERIAL: ZF9Y2B152189 COLOR NEGRO	
FCB-1540 | MOUSE OPTICO MARCA MEGA POWER  COLOR NEGRO
FCB-1444 | TECLADO MARCA SONIC MODELO KM-3701 SERIAL: 018100079648 COLOR GRIS/NEGRO
PGEB-BM-871 | EXTINTOR POLVO QUIMICO SECO.TIPO BOMBONA,COLOR ROJO
PGEB-BM-931 | SILLA DE VISITANTE EN TELA, BASE DE METAL, SIN BRAZO COLOR NEGRO
PGEB-BM-953 | SILLA PARA VISITANTE EN TELA SIN BRAZO COLOR NEGRO
PGEB-BM-427 | SILLA VISITANTE EN SEMICUERO MARRON, LINEA CROMADA, SIN BRAZOS, MOD.: S/N, SER: S/N
PGEB-BM-852 | VITRINA DE FORMICA COLOR PALO DE ROSA Y METAL COLOR BEIGE DE 2 NIVELES
PGEB-BM-874 | MESA DE METAL BEIGE Y FORMICA COLOR PALO DE ROSA (64CM ALTO X 60CM ANCHO X 65CM PROF.)
PGEB-BM-948 | MESA DE CONFERENCIA OVALADA EN FORMICA DE 8-10 PUESTOS COLOR PALO DE ROSA
PGEB-BM-985 | ESCRITORIO SECRETARIAL DOS GAVETAS DE 1,20 MT LONGUITUD COLOR PALO DE ROSA
PGEB-BM-1019 | ESCRITORIO SECRETARIAL MODELO 255 COLOR PALO DE ROSA
PGEB-BM-892 | CPU INCLUYE LOS SIGUIENTES COMPONENTES INTERNOS:PROCESADOR INTEL DUAL CORE 1.8 GHZ,TARJETA MADRE ASROCK 945G/DDRII,DISCO DURO 80GB SAMSUMG 7200(SATA),MEMORIA DDR 512MB/667,CD ROM-CDRW+DVDROM-DVDRW LITEON 18X,FLOPPY 3 1/2 NEGRO,CASE COMBO OMEGA  NEGRO CON PLATA.
PGEB-BM-833 | SILLA SEMI-EJECUTIVA DE TELA, COLOR VINO TINTO, DE 2 BRAZOS Y 5 RUEDAS
151525-1 | COMBO BASE CORNETAS (A), TECLADO (B), MOUSE C
FCB-1793 | REGULADOR DE  VOLTAJE  MARCA FORZA MODELO FVR-1211B SERIAL:09040573694  COLOR NEGRO.
PGEB-BM-978 | FOTOCOPIADORA MARCA CANON MODELO IR-1023N  SERIAL: TJE30939 COLOR GRIS
PGEB-BM-929 | CPU INCLUYE LOS SIGUIENTES COMPONENTES INTERNOS: PROCESADOR INTEL DUAL CORE 2,50 GHZ E5200 B SERIAL:2A0064, TARJETA MADRE FOX CONN CHIP INTEL   SERIAL:000798, DVD SUPER MULTI RW - 22X LG SATA NEGRO 0 SERIAL:018537,DISCO DURO SEGATE DE 250 GB SATA 2 SERIAL: YK4CGJ, MEMORIA DE 2 GIGA DDR2 BUS 800 AMP  SERIAL:AMP033,
PGEB-BM-997 | AIRE ACONDICIONADO MARCA DAEWOO DE 12000 BTU TIPO SPLIT SERIAL DE CONSOLA: ZM089031030156--SERIAL DE COMPRESOR: ZM089089010440 COLOR BLANCO
PGEB-BM-1010 | REGULADOR DE  VOLTAJE  MARCA FORZA MODELO FVR-1211B SERIAL:09040574351  COLOR NEGRO.
PGEB-BM-1012 | REGULADOR DE  VOLTAJE  MARCA FORZA MODELO FVR-1211B SERIAL:09040573691 COLOR NEGRO
PGEB-BM-1014 | SILLA SECRETARIAL EN TELA MODELO ANTONELLA SIN BRAZO, CINCO RUEDAS COLOR AZUL
PGEB-BM-883 | SILLA EJECUTIVA EN TELA,BASE DE METAL CON 5 RUEDAS COLOR NEGRO	
PGEB-BM-1011 | MONITOR  LCD MARCA LG 19" MOD FLATRON W1934S-BN, SERIAL: 908UXX7V298  COLOR NEGRO
PGEB-BM-102 | MONITOR LCD 19" - LG L194 WS
PGEB-BM-920 | MONITOR  MARCA LG 19"  LCD WIDE SCREEN  MOD FLATRON W19345 S/N? 806UXDM0P114 COLOR NEGRO
PGEB-BM-923 | MONITOR  MARCA LG 19"  LCD WIDE SCREEN  MODELO: FLATRON W19345 , SERIAL:804UXQA3E100 COLOR NEGRO.
52311-2 | PORTA CLIPS
FCB-1233-1234 | CORNETA MULTIMEDIA MARCA OMEGA MODELO: 2007020005039 SERIAL: QC2PASS COLOR NEGRO
PGEB-BM-976 | EXTINTOR TIPO ABC CARGA PQS CAPACIDAD 10LBS, COLOR ROJO
PGEB-BM-930 | SILLA DE VISITANTE EN TELA, BASE DE METAL, SIN BRAZO COLOR NEGRO
PGEB-BM-878 | ESCAPARATE DE METAL DE 2 PUERTAS Y 5 ENTREPANOS COLOR NEGRO
PGEB-BM-846 | VITRINA DE METAL DE 2 NIVELES CON PUERTAS DE VIDRIO COLOR BEIGE Y FORMICA COLOR PALO DE ROSA  (75CM DE ALTO POR 1MTS DE ANCHO POR 0,46MTS DE PROFUNDIDAD)
PGEB-BM-969 | MODULO ARTURITO+BIBLIOTECA PEQUENA EN FORMICA, 3 GAVETAS COLOR PALO DE ROSA
PGEB-BM-975 | MODULO TELEFONERA+ BIBLIOTECA ABIERTA 2 GAV. (1,60M ALT.* 0,95 LARGO * 0,47M ANCHO) COLOR PALO DE ROSA
PGEB-BM-949 | DISPENSADOR DE AGUA MARCA PREMIUN MODELO:PWC198H SERIAL: PWCH090700349 COLOR BLANCO
FCB-1231 | TECLADO MARCA OMEGA PUERTO PS2 SERIAL: QCPASS200703 COLOR NEGRO GRIS
FCB-1282 | MOUSE OPTICO MARCA DIAMOND PUERTO PS2 SERIAL: 068020217557 COLOR NEGRO
PGEB-BM-496 | CASE SIRAGON NEGRO Y PLATEADO, CPU PENTIUM IV 1 .8 GHZ, 512 KB, TARJETA BIOSTAR U8668, HD DE 40 GB, DIMM 256MB, UNIDAD DE CD 52X LG, FLOPPY 3 1/2, MOD.:
PGEB-BM-1026 | SOCIOLOGIA DEL DERECHO. AUTOR: RAMON SORIANO
PGEB-BM-80 | CASE, PENTIUM INTEL E5300 2,60GHZ 2GB RAM DISCO DUROSANSUNG 160 GB SATA, UNIDAD DE ESCRITURA DVD (WITTING MASTER) 
PGEB-BM-914 | SILLA SEMI- EJECUTIVA DE TELA, BASE DE METAL, DOS BRAZOS, DE CINCO RUEDAS, COLOR NEGRO
PGEB-BM-875 | AIRE ACONDICIONADO, TIPO SPLIT DE 5 TON,MARCA DP, S/SERIAL, COLOR BLANCO OSTRA
PGEB-BM-138 | MONITOR AOC 17"
PGEB-BM-918 | IMPRESORA MARCA HP DESKJET D1460 SERIAL: VN83B3127C COLOR NEGRO-GRIS
PGEB-BM-838 | NEVERA BLANCA EJECUTIVA, MARCA REGINA DE 9,12 PIES 120V  MODELO RR04B
PGEB-BM-879 | NEVERA MARCA AVENTI, COLOR BLANCO, SERIAL: S/N 0136014
FCB-1815 | CORNETA  MULTIMEDIA MARCA GENIUS MODELO: SP-S110 SERIAL: ZF9Y2B152184 COLOR NEGRO
FCB-1365 | TECLADO MARCA MEGA POWER  S/SERIAL  COLOR NEGRO
FCB-1820 | MOUSE MARCA MEGA POWER SIN  MODELO, SERIAL: 2009060104473-6 COLOR NEGRO-GRIS
FCB-0274 | PAPELERA ACRILICA CUADRADA COLOR NEGRO
PGEB-BM-861 | ARCHIVO DE METAL, COLOR BEIGE, DE 4 GAVETAS (1,34 MT ALTO X 46 CM ANCHO X 71 CM PROFUNDIDAD)
PGEB-BM-867 | ARCHIVO DE METAL, COLOR BEIGE, DE 4 GAVETAS (1,35 MT ALTO X 47 CM ANCHO X 70 CM PROFUNDIDAD)
PGEB-BM-866 | ARCHIVO DE METAL, COLOR BEIGE, DE 4 GAVETAS (1,35 MT ALTO X 46 CM ANCHO X 71 CM PROFUNDO)
PGEB-BM-869 | ARCHIVO DE METAL, COLOR BEIGE, DE 4 GAVETAS (1,35 MT ALTO X 46 CM ANCHO X 70 CM PROFUNDIDAD)
PGEB-BM-865 | ARCHIVO DE METAL, COLOR BEIGE, DE 4 GAVETAS (1,35 MT ALTO X 46 CM ANCHO X 71 CM PROFUNDO)
PGEB-BM-872 | ARCHIVO DE METAL, COLOR BEIGE, DE 4 GAVETAS (1,36 MT ALTO X 46 CM ANCHO X 71 CM PROFUNDIDAD)
FCB-0588 | CENTRAL TELEFONICA, MARCA PANASONIC COLOR BEIGE, MODELO KX-TD12332X SERIAL: 9EBVS023935
PGEB-BM-863 | ARCHIVO MOVIL, COLOR BEIGE Y MARRON, DE 2 MODULOS, 2 CARAS, 6 ENTREPANOS, (2,06 MT ALTO X 80 CM ANCHO X 1,92 MT PROFUNDIDAD) SERIAL NO 30484
PGEB-BM-862 | ARCHIVO MOVIL, COLOR BEIGE Y MARRON,DE 2 MODULOS, 2 CARAS, 6 ENTREPANOS, (2,06 MT ALTO X 80 CM ANCHO X 1,93 MT PROFUNDIDAD), SERIAL NO 30484
PGEB-BM-887 | ARCHIVO MOVIL MARCA ARCHIMOVIL DE UN VAGON DE:(2,06 MT ALTO X 80 CM ANCHO X 1,94 MT PROF.),SERIAL:33403 COLOR BEIGE Y MARRON.
PGEB-BM-952 | SILLA PARA VISITANTE EN TELA SIN BRAZO COLOR GRIS
PGEB-BM-995 | SILLA DE VISITANTE EN TELA, SIN BRAZOS COLOR NEGRO
PGEB-BM-881 | SILLA PARA VISITANTE BASE DE METAL Y SEMICUERO COLOR MARRON
PGEB-BM-278 | TALADRO RUN 1/2
PGEB-BM-888 | ARCHIVO MOVIL MARCA ARCHIMOVIL DE UN VAGON DE:(2,06 MT ALTO X 80 CM ANCHO X 1,94 MT PROF.),S/SERIAL COLOR BEIGE Y MARRON.
PGEB-BM-900 | ARCHIVO MOVIL MARCA ARCHIMOVIL DOBLE BAJON DE (1932*800*2000 MM) DE ENTREPANOS TIPO EV936*400 MM CON RIELES SOBREPUESTOS CON PLATAFORMA Y ALFOMBRAS 1932 MM, SISTEMA MECANICO EN SU DESPLAZAMIENTO S/SE
PGEB-BM-1007 | REGULADOR DE  VOLTAJE  MARCA FORZA MODELO FVR-1211B SERIAL:09040574357  COLOR NEGRO.
21975 | ESCRITORIO EN FORMICA PALO DE ROSA, CON 1 GAVETA DE 1 ,0 X 0,65 X 0,60 S/CERRADURA, MOD.: S/N, SER: S/N
PGEB-BM-925 | AIRE ACONDICIONADO TIPO SPLIT  18000 BTU MARCA ACORD + CONSOLA SERIAL:I8292029845 COMPRESOR SERIAL:0829202800060  COLOR BLANCO
104547 | REGULADOR DE VOLTAJE, MARCA SONI VIEW DE 4 TOMAS
PGEB-BM-857 | SILLA EJECUTIVA EN TELA DE 2 BRAZOS Y 5 RUEDAS COLOR NEGRO
PGEB-BM-1009 | MONITOR  LCD MARCA LG 19" MODELO:FLATRON W1934S-BN, SERIAL: 907UXKDOB461  COLOR NEGRO.
PGEB-BM-1020 | SILLA SECRETARIAL EN TELA CON BRAZOS, DE CINCO (05) RUEDAS  COLOR NEGRO
PGEB-BM-901 | ARCHIVO MOVIL MARCA ARCHIMOVIL DOBLE BAJON DE (1932*800*2000 MM) DE ENTREPANOS TIPO EV936*400 MM CON RIELES SOBREPUESTOS CON PLATAFORMA Y ALFOMBRAS 1932 MM, SISTEMA MECANICO EN SU DESPLAZAMIENTO S/SE
PGEB-BM-902 | ARCHIVO MOVIL MARCA ARCHIMOVIL DOBLE BAJON DE (1932*800*2000 MM) DE ENTREPANOS TIPO EV936*400 MM CON RIELES SOBREPUESTOS CON PLATAFORMA Y ALFOMBRAS 1932 MM, SISTEMA MECANICO EN SU DESPLAZAMIENTO S/SE
FCB-1430 | TECLADO MARCA SONIC MODELO KM-3702P00040 SERIAL: 018100079950  COLOR NEGRO
PGEB-BM-903 | ARCHIVO MOVIL MARCA ARCHIMOVIL DOBLE BAJON DE (1932*800*2000 MM) DE ENTREPANOS TIPO EV936*400 MM CON RIELES SOBREPUESTOS CON PLATAFORMA Y ALFOMBRAS 1932 MM, SISTEMA MECANICO EN SU DESPLAZAMIENTO S/SE
PGEB-BM-905 | ARCHIVO MOVIL MARCA ARCHIMOVIL DOBLE BAJON DE (1932*800*2000 MM) DE ENTREPANOS TIPO EV936*400 MM CON RIELES SOBREPUESTOS CON PLATAFORMA Y ALFOMBRAS 1932 MM, SISTEMA MECANICO EN SU DESPLAZAMIENTO S/SE
PGEB-BM-904 | ARCHIVO MOVIL MARCA ARCHIMOVIL DOBLE BAJON DE (1932*800*2000 MM) DE ENTREPANOS TIPO EV936*400 MM CON RIELES SOBREPUESTOS CON PLATAFORMA Y ALFOMBRAS 1932 MM, SISTEMA MECANICO EN SU DESPLAZAMIENTO S/SE
PGEB-BM-906 | ARCHIVO MOVIL MARCA ARCHIMOVIL DOBLE BAJON DE (1932*800*2000 MM) DE ENTREPANOS TIPO EV936*400 MM CON RIELES SOBREPUESTOS CON PLATAFORMA Y ALFOMBRAS 1932 MM, SISTEMA MECANICO EN SU DESPLAZAMIENTO S/SE
PGEB-BM-907 | ARCHIVO MOVIL MARCA ARCHIMOVIL DOBLE BAJON DE (1932*800*2000 MM) DE ENTREPANOS TIPO EV936*400 MM CON RIELES SOBREPUESTOS CON PLATAFORMA Y ALFOMBRAS 1932 MM, SISTEMA MECANICO EN SU DESPLAZAMIENTO S/SE
FCB-0299 | PAPELERA PLASTICA CUADRADA COLOR MARRON
FCB-0604 | BLOQUEADOR TELEFONICO, MARCA KATRONIC COLOR BEIGE
FCB-0605 | BLOQUEADOR TELEFONICO, MARCA KATRONIC COLOR BEIGE
FCB-0579 | PERSIANA VERTICAL, COLOR BEIGE CON AZUL, (1,61 MT ALTO X 3,97 MT ANCHO)
FCB-0608 | PERSIANA VERTICAL, COLOR BLANCO LUNA Y PLATEADO, (1,73 MT ALTO X 2,76 MT ANCHO)
FCB-0587 | PERSIANA VERTICAL, COLOR BLANCO LUNA Y PLATEADO, (1,73 MT ALTO X 2,76 MT ANCHO)
PGEB-BM-438 | TANDEMS DE 4 PUESTOS EN FIBRA DE VIDRIO, MOD.: S/N, SER: S/N
PGEB-BM-439 | TANDEMS DE 4 PUESTOS EN FIBRA DE VIDRIO, MOD.: S/N, SER: S/N
PGEB-BM-860 | SILLA PARA VISITANTE BASE METALICA Y FIBRA DE VIDRIO, DE 3 PUESTOS, COLOR BEIGE
PGEB-BM-864 | ARCHIVO MOVIL DE 2 MODULOS, 2 CARAS, 6 ENTREPANOS (2,06 MT ALTO X 87 CM ANCHO X 1,93 MT PROFUNDIDAD), S/N 29942 COLOR BEIGE Y MARRON SERIAL NO 29942
148113 | MEMORIA MINI SD DE 1 GB
20540 | CUADRO PAISAJE (DEBIDAMENTE ENMARCADOS), MOD.: S/N, SER: S/N
20543 | CUADRO CON DECRETO (24-07-1863) CREACION DE LA PROCURADURIA DE LA NACION.-, MOD.: S/N, SER.: S/N
PGEB-BM-934 | ARCHIVO DE METAL MARCA SAFA DE 4 GAVETAS COLOR NEGRO
PGEB-BM-50 | ARCHIVADORES EN METAL DE CUATRO (4)  GAVETAS, CON CERRADURA, COLOR NEGRO
PGEB-BM-508 | ARCHIVO 4 GAVETAS, METALICO COLOR CHANANG C/CERRADURA, MOD.: S/N, SER: S/N
PGEB-BM-60 | ARCHIVO EN METAL DE CUATRO (4) GAVETAS, CON CERRADURA, COLOR NEGRO
PGEB-BM-361 | ARCHIVO METALICOS, COLOR MARRON, DE 4 GAVETAS CON CERRADURA, MOD.: S/N, SER.: S/N
PGEB-BM-848 | ARCHIVO DE METAL DE 4 GAVETAS ( 1,35MTS DE ALTO POR 0,46MTS DE ANCHO POR 0,70 MTS DE PROFUNDIDAD) COLOR BEIGE
PGEB-BM-37 | REVERBERO DE UNA (01) HORNILLA CON PATAS
